File,Sample,Family,Context
FG1-1_S1_Gene_CpG.txt,FG1-1_S1,Gene,CpG
FG1-1_S1_Gene_CHG.txt,FG1-1_S1,Gene,CHG
FG1-1_S1_Gene_CHH.txt,FG1-1_S1,Gene,CHH
FG1-1_S1_Copia_CpG.txt,FG1-1_S1,Copia,CpG
FG1-1_S1_Copia_CHG.txt,FG1-1_S1,Copia,CHG
FG1-1_S1_Copia_CHH.txt,FG1-1_S1,Copia,CHH
FG1-1_S1_Gypsy_CpG.txt,FG1-1_S1,Gypsy,CpG
FG1-1_S1_Gypsy_CHG.txt,FG1-1_S1,Gypsy,CHG
FG1-1_S1_Gypsy_CHH.txt,FG1-1_S1,Gypsy,CHH
FG1-1_S1_TRIM_CpG.txt,FG1-1_S1,TRIM,CpG
FG1-1_S1_TRIM_CHG.txt,FG1-1_S1,TRIM,CHG
FG1-1_S1_TRIM_CHH.txt,FG1-1_S1,TRIM,CHH
FG1-1_S1_LTRun_CpG.txt,FG1-1_S1,LTRun,CpG
FG1-1_S1_LTRun_CHG.txt,FG1-1_S1,LTRun,CHG
FG1-1_S1_LTRun_CHH.txt,FG1-1_S1,LTRun,CHH
FG1-1_S1_CACTA_CpG.txt,FG1-1_S1,CACTA,CpG
FG1-1_S1_CACTA_CHG.txt,FG1-1_S1,CACTA,CHG
FG1-1_S1_CACTA_CHH.txt,FG1-1_S1,CACTA,CHH
FG1-1_S1_Mut_CpG.txt,FG1-1_S1,Mut,CpG
FG1-1_S1_Mut_CHG.txt,FG1-1_S1,Mut,CHG
FG1-1_S1_Mut_CHH.txt,FG1-1_S1,Mut,CHH
FG1-1_S1_PIF_CpG.txt,FG1-1_S1,PIF,CpG
FG1-1_S1_PIF_CHG.txt,FG1-1_S1,PIF,CHG
FG1-1_S1_PIF_CHH.txt,FG1-1_S1,PIF,CHH
FG1-1_S1_Tc1_CpG.txt,FG1-1_S1,Tc1,CpG
FG1-1_S1_Tc1_CHG.txt,FG1-1_S1,Tc1,CHG
FG1-1_S1_Tc1_CHH.txt,FG1-1_S1,Tc1,CHH
FG1-1_S1_hAT_CpG.txt,FG1-1_S1,hAT,CpG
FG1-1_S1_hAT_CHG.txt,FG1-1_S1,hAT,CHG
FG1-1_S1_hAT_CHH.txt,FG1-1_S1,hAT,CHH
FG1-1_S1_TIRun_CpG.txt,FG1-1_S1,TIRun,CpG
FG1-1_S1_TIRun_CHG.txt,FG1-1_S1,TIRun,CHG
FG1-1_S1_TIRun_CHH.txt,FG1-1_S1,TIRun,CHH
FG1-1_S1_Cen_CpG.txt,FG1-1_S1,Cen,CpG
FG1-1_S1_Cen_CHG.txt,FG1-1_S1,Cen,CHG
FG1-1_S1_Cen_CHH.txt,FG1-1_S1,Cen,CHH
FG1-1_S1_LINE_CpG.txt,FG1-1_S1,LINE,CpG
FG1-1_S1_LINE_CHG.txt,FG1-1_S1,LINE,CHG
FG1-1_S1_LINE_CHH.txt,FG1-1_S1,LINE,CHH
FG1-1_S1_SINE_CpG.txt,FG1-1_S1,SINE,CpG
FG1-1_S1_SINE_CHG.txt,FG1-1_S1,SINE,CHG
FG1-1_S1_SINE_CHH.txt,FG1-1_S1,SINE,CHH
FG1-1_S1_Nonun_CpG.txt,FG1-1_S1,Nonun,CpG
FG1-1_S1_Nonun_CHG.txt,FG1-1_S1,Nonun,CHG
FG1-1_S1_Nonun_CHH.txt,FG1-1_S1,Nonun,CHH
FG1-1_S1_HEL_CpG.txt,FG1-1_S1,HEL,CpG
FG1-1_S1_HEL_CHG.txt,FG1-1_S1,HEL,CHG
FG1-1_S1_HEL_CHH.txt,FG1-1_S1,HEL,CHH
FG1-1_S1_Rep_CpG.txt,FG1-1_S1,Rep,CpG
FG1-1_S1_Rep_CHG.txt,FG1-1_S1,Rep,CHG
FG1-1_S1_Rep_CHH.txt,FG1-1_S1,Rep,CHH
FG1-1_S1_Sat_CpG.txt,FG1-1_S1,Sat,CpG
FG1-1_S1_Sat_CHG.txt,FG1-1_S1,Sat,CHG
FG1-1_S1_Sat_CHH.txt,FG1-1_S1,Sat,CHH
FG1-2_S2_Gene_CpG.txt,FG1-2_S2,Gene,CpG
FG1-2_S2_Gene_CHG.txt,FG1-2_S2,Gene,CHG
FG1-2_S2_Gene_CHH.txt,FG1-2_S2,Gene,CHH
FG1-2_S2_Copia_CpG.txt,FG1-2_S2,Copia,CpG
FG1-2_S2_Copia_CHG.txt,FG1-2_S2,Copia,CHG
FG1-2_S2_Copia_CHH.txt,FG1-2_S2,Copia,CHH
FG1-2_S2_Gypsy_CpG.txt,FG1-2_S2,Gypsy,CpG
FG1-2_S2_Gypsy_CHG.txt,FG1-2_S2,Gypsy,CHG
FG1-2_S2_Gypsy_CHH.txt,FG1-2_S2,Gypsy,CHH
FG1-2_S2_TRIM_CpG.txt,FG1-2_S2,TRIM,CpG
FG1-2_S2_TRIM_CHG.txt,FG1-2_S2,TRIM,CHG
FG1-2_S2_TRIM_CHH.txt,FG1-2_S2,TRIM,CHH
FG1-2_S2_LTRun_CpG.txt,FG1-2_S2,LTRun,CpG
FG1-2_S2_LTRun_CHG.txt,FG1-2_S2,LTRun,CHG
FG1-2_S2_LTRun_CHH.txt,FG1-2_S2,LTRun,CHH
FG1-2_S2_CACTA_CpG.txt,FG1-2_S2,CACTA,CpG
FG1-2_S2_CACTA_CHG.txt,FG1-2_S2,CACTA,CHG
FG1-2_S2_CACTA_CHH.txt,FG1-2_S2,CACTA,CHH
FG1-2_S2_Mut_CpG.txt,FG1-2_S2,Mut,CpG
FG1-2_S2_Mut_CHG.txt,FG1-2_S2,Mut,CHG
FG1-2_S2_Mut_CHH.txt,FG1-2_S2,Mut,CHH
FG1-2_S2_PIF_CpG.txt,FG1-2_S2,PIF,CpG
FG1-2_S2_PIF_CHG.txt,FG1-2_S2,PIF,CHG
FG1-2_S2_PIF_CHH.txt,FG1-2_S2,PIF,CHH
FG1-2_S2_Tc1_CpG.txt,FG1-2_S2,Tc1,CpG
FG1-2_S2_Tc1_CHG.txt,FG1-2_S2,Tc1,CHG
FG1-2_S2_Tc1_CHH.txt,FG1-2_S2,Tc1,CHH
FG1-2_S2_hAT_CpG.txt,FG1-2_S2,hAT,CpG
FG1-2_S2_hAT_CHG.txt,FG1-2_S2,hAT,CHG
FG1-2_S2_hAT_CHH.txt,FG1-2_S2,hAT,CHH
FG1-2_S2_TIRun_CpG.txt,FG1-2_S2,TIRun,CpG
FG1-2_S2_TIRun_CHG.txt,FG1-2_S2,TIRun,CHG
FG1-2_S2_TIRun_CHH.txt,FG1-2_S2,TIRun,CHH
FG1-2_S2_Cen_CpG.txt,FG1-2_S2,Cen,CpG
FG1-2_S2_Cen_CHG.txt,FG1-2_S2,Cen,CHG
FG1-2_S2_Cen_CHH.txt,FG1-2_S2,Cen,CHH
FG1-2_S2_LINE_CpG.txt,FG1-2_S2,LINE,CpG
FG1-2_S2_LINE_CHG.txt,FG1-2_S2,LINE,CHG
FG1-2_S2_LINE_CHH.txt,FG1-2_S2,LINE,CHH
FG1-2_S2_SINE_CpG.txt,FG1-2_S2,SINE,CpG
FG1-2_S2_SINE_CHG.txt,FG1-2_S2,SINE,CHG
FG1-2_S2_SINE_CHH.txt,FG1-2_S2,SINE,CHH
FG1-2_S2_Nonun_CpG.txt,FG1-2_S2,Nonun,CpG
FG1-2_S2_Nonun_CHG.txt,FG1-2_S2,Nonun,CHG
FG1-2_S2_Nonun_CHH.txt,FG1-2_S2,Nonun,CHH
FG1-2_S2_HEL_CpG.txt,FG1-2_S2,HEL,CpG
FG1-2_S2_HEL_CHG.txt,FG1-2_S2,HEL,CHG
FG1-2_S2_HEL_CHH.txt,FG1-2_S2,HEL,CHH
FG1-2_S2_Rep_CpG.txt,FG1-2_S2,Rep,CpG
FG1-2_S2_Rep_CHG.txt,FG1-2_S2,Rep,CHG
FG1-2_S2_Rep_CHH.txt,FG1-2_S2,Rep,CHH
