File,Sample,Region
FG1-1_S1.DMR_siren.txt,FG1-1_S1,DMR_siren
FG1-1_S1.DMR.txt,FG1-1_S1,DMR
FG1-1_S1.siren.txt,FG1-1_S1,siren
FG1-1_S1.shuffle.txt,FG1-1_S1,shuffle
FG1-2_S2.DMR_siren.txt,FG1-2_S2,DMR_siren
FG1-2_S2.DMR.txt,FG1-2_S2,DMR
FG1-2_S2.siren.txt,FG1-2_S2,siren
FG1-2_S2.shuffle.txt,FG1-2_S2,shuffle
FG2-1_S3.DMR_siren.txt,FG2-1_S3,DMR_siren
FG2-1_S3.DMR.txt,FG2-1_S3,DMR
FG2-1_S3.siren.txt,FG2-1_S3,siren
FG2-1_S3.shuffle.txt,FG2-1_S3,shuffle
FG2-2_S4.DMR_siren.txt,FG2-2_S4,DMR_siren
FG2-2_S4.DMR.txt,FG2-2_S4,DMR
FG2-2_S4.siren.txt,FG2-2_S4,siren
FG2-2_S4.shuffle.txt,FG2-2_S4,shuffle
FG3-1_S5.DMR_siren.txt,FG3-1_S5,DMR_siren
FG3-1_S5.DMR.txt,FG3-1_S5,DMR
FG3-1_S5.siren.txt,FG3-1_S5,siren
FG3-1_S5.shuffle.txt,FG3-1_S5,shuffle
FG3-2_S6.DMR_siren.txt,FG3-2_S6,DMR_siren
FG3-2_S6.DMR.txt,FG3-2_S6,DMR
FG3-2_S6.siren.txt,FG3-2_S6,siren
FG3-2_S6.shuffle.txt,FG3-2_S6,shuffle
FG4-1_S7.DMR_siren.txt,FG4-1_S7,DMR_siren
FG4-1_S7.DMR.txt,FG4-1_S7,DMR
FG4-1_S7.siren.txt,FG4-1_S7,siren
FG4-1_S7.shuffle.txt,FG4-1_S7,shuffle
FG4-2_S8.DMR_siren.txt,FG4-2_S8,DMR_siren
FG4-2_S8.DMR.txt,FG4-2_S8,DMR
FG4-2_S8.siren.txt,FG4-2_S8,siren
FG4-2_S8.shuffle.txt,FG4-2_S8,shuffle
FG5-1_S9.DMR_siren.txt,FG5-1_S9,DMR_siren
FG5-1_S9.DMR.txt,FG5-1_S9,DMR
FG5-1_S9.siren.txt,FG5-1_S9,siren
FG5-1_S9.shuffle.txt,FG5-1_S9,shuffle
FG5-2_S10.DMR_siren.txt,FG5-2_S10,DMR_siren
FG5-2_S10.DMR.txt,FG5-2_S10,DMR
FG5-2_S10.siren.txt,FG5-2_S10,siren
FG5-2_S10.shuffle.txt,FG5-2_S10,shuffle
FG6-1_S11.DMR_siren.txt,FG6-1_S11,DMR_siren
FG6-1_S11.DMR.txt,FG6-1_S11,DMR
FG6-1_S11.siren.txt,FG6-1_S11,siren
FG6-1_S11.shuffle.txt,FG6-1_S11,shuffle
FG6-2_S12.DMR_siren.txt,FG6-2_S12,DMR_siren
FG6-2_S12.DMR.txt,FG6-2_S12,DMR
FG6-2_S12.siren.txt,FG6-2_S12,siren
FG6-2_S12.shuffle.txt,FG6-2_S12,shuffle
FL-1_S13.DMR_siren.txt,FL-1_S13,DMR_siren
FL-1_S13.DMR.txt,FL-1_S13,DMR
FL-1_S13.siren.txt,FL-1_S13,siren
FL-1_S13.shuffle.txt,FL-1_S13,shuffle
FL-2_S14.DMR_siren.txt,FL-2_S14,DMR_siren
FL-2_S14.DMR.txt,FL-2_S14,DMR
FL-2_S14.siren.txt,FL-2_S14,siren
FL-2_S14.shuffle.txt,FL-2_S14,shuffle
