File,Sample,Region
CC.DMR_siren.txt,CC,DMR_siren
CC.DMR.txt,CC,DMR
CC.siren.txt,CC,Siren
CC.shuffle.txt,CC,Shuffle
EC.DMR_siren.txt,EC,DMR_siren
EC.DMR.txt,EC,DMR
EC.siren.txt,EC,Siren
EC.shuffle.txt,EC,Shuffle
FG1-1_S1.DMR_siren.txt,FG1-1,DMR_siren
FG1-1_S1.DMR.txt,FG1-1,DMR
FG1-1_S1.siren.txt,FG1-1,Siren
FG1-1_S1.shuffle.txt,FG1-1,Shuffle
FG6-1_S11.DMR_siren.txt,FG6-1,DMR_siren
FG6-1_S11.DMR.txt,FG6-1,DMR
FG6-1_S11.siren.txt,FG6-1,Siren
FG6-1_S11.shuffle.txt,FG6-1,Shuffle
FG6-2_S12.DMR_siren.txt,FG6-2,DMR_siren
FG6-2_S12.DMR.txt,FG6-2,DMR
FG6-2_S12.siren.txt,FG6-2,Siren
FG6-2_S12.shuffle.txt,FG6-2,Shuffle
FL-1_S13.DMR_siren.txt,FL-1,DMR_siren
FL-1_S13.DMR.txt,FL-1,DMR
FL-1_S13.siren.txt,FL-1,Siren
FL-1_S13.shuffle.txt,FL-1,Shuffle
FL-2_S14.DMR_siren.txt,FL-2,DMR_siren
FL-2_S14.DMR.txt,FL-2,DMR
FL-2_S14.siren.txt,FL-2,Siren
FL-2_S14.shuffle.txt,FL-2,Shuffle
SRR11969153.DMR_siren.txt,Stamen,DMR_siren
SRR11969153.DMR.txt,Stamen,DMR
SRR11969153.siren.txt,Stamen,Siren
SRR11969153.shuffle.txt,Stamen,Shuffle
SRR11969156.DMR_siren.txt,Pistil,DMR_siren
SRR11969156.DMR.txt,Pistil,DMR
SRR11969156.siren.txt,Pistil,Siren
SRR11969156.shuffle.txt,Pistil,Shuffle
SRR11969157.DMR_siren.txt,rdr2-3,DMR_siren
SRR11969157.DMR.txt,rdr2-3,DMR
SRR11969157.siren.txt,rdr2-3,Siren
SRR11969157.shuffle.txt,rdr2-3,Shuffle
SRR11969158.DMR_siren.txt,rdr2-6,DMR_siren
SRR11969158.DMR.txt,rdr2-6,DMR
SRR11969158.siren.txt,rdr2-6,Siren
SRR11969158.shuffle.txt,rdr2-6,Shuffle
SRR6885122.DMR_siren.txt,Panicle-1,DMR_siren
SRR6885122.DMR.txt,Panicle-1,DMR
SRR6885122.siren.txt,Panicle-1,Siren
SRR6885122.shuffle.txt,Panicle-1,Shuffle
SRR8944021.DMR_siren.txt,Panicle-2,DMR_siren
SRR8944021.DMR.txt,Panicle-2,DMR
SRR8944021.siren.txt,Panicle-2,Siren
SRR8944021.shuffle.txt,Panicle-2,Shuffle
SRR8944023.DMR_siren.txt,Seedling-1,DMR_siren
SRR8944023.DMR.txt,Seedling-1,DMR
SRR8944023.siren.txt,Seedling-1,Siren
SRR8944023.shuffle.txt,Seedling-1,Shuffle
SRR8944024.DMR_siren.txt,Seedling-2,DMR_siren
SRR8944024.DMR.txt,Seedling-2,DMR
SRR8944024.siren.txt,Seedling-2,Siren
SRR8944024.shuffle.txt,Seedling-2,Shuffle
Embryo.DMR_siren.txt,Embryo,DMR_siren
Embryo.DMR.txt,Embryo,DMR
Embryo.siren.txt,Embryo,Siren
Embryo.shuffle.txt,Embryo,Shuffle
Endosperm.DMR_siren.txt,Endosperm,DMR_siren
Endosperm.DMR.txt,Endosperm,DMR
Endosperm.siren.txt,Endosperm,Siren
Endosperm.shuffle.txt,Endosperm,Shuffle
