File,Sample,Expression,Context
FG1-1_S1_NoExp_CpG.txt,FG1-1_S1,NoExp,CpG
FG1-1_S1_NoExp_CHG.txt,FG1-1_S1,NoExp,CHG
FG1-1_S1_NoExp_CHH.txt,FG1-1_S1,NoExp,CHH
FG1-1_S1_2nd_CpG.txt,FG1-1_S1,2nd,CpG
FG1-1_S1_2nd_CHG.txt,FG1-1_S1,2nd,CHG
FG1-1_S1_2nd_CHH.txt,FG1-1_S1,2nd,CHH
FG1-1_S1_4th_CpG.txt,FG1-1_S1,4th,CpG
FG1-1_S1_4th_CHG.txt,FG1-1_S1,4th,CHG
FG1-1_S1_4th_CHH.txt,FG1-1_S1,4th,CHH
FG1-1_S1_6th_CpG.txt,FG1-1_S1,6th,CpG
FG1-1_S1_6th_CHG.txt,FG1-1_S1,6th,CHG
FG1-1_S1_6th_CHH.txt,FG1-1_S1,6th,CHH
FG1-1_S1_8th_CpG.txt,FG1-1_S1,8th,CpG
FG1-1_S1_8th_CHG.txt,FG1-1_S1,8th,CHG
FG1-1_S1_8th_CHH.txt,FG1-1_S1,8th,CHH
FG1-1_S1_10th_CpG.txt,FG1-1_S1,10th,CpG
FG1-1_S1_10th_CHG.txt,FG1-1_S1,10th,CHG
FG1-1_S1_10th_CHH.txt,FG1-1_S1,10th,CHH
FG1-2_S2_NoExp_CpG.txt,FG1-2_S2,NoExp,CpG
FG1-2_S2_NoExp_CHG.txt,FG1-2_S2,NoExp,CHG
FG1-2_S2_NoExp_CHH.txt,FG1-2_S2,NoExp,CHH
FG1-2_S2_2nd_CpG.txt,FG1-2_S2,2nd,CpG
FG1-2_S2_2nd_CHG.txt,FG1-2_S2,2nd,CHG
FG1-2_S2_2nd_CHH.txt,FG1-2_S2,2nd,CHH
FG1-2_S2_4th_CpG.txt,FG1-2_S2,4th,CpG
FG1-2_S2_4th_CHG.txt,FG1-2_S2,4th,CHG
FG1-2_S2_4th_CHH.txt,FG1-2_S2,4th,CHH
FG1-2_S2_6th_CpG.txt,FG1-2_S2,6th,CpG
FG1-2_S2_6th_CHG.txt,FG1-2_S2,6th,CHG
FG1-2_S2_6th_CHH.txt,FG1-2_S2,6th,CHH
FG1-2_S2_8th_CpG.txt,FG1-2_S2,8th,CpG
FG1-2_S2_8th_CHG.txt,FG1-2_S2,8th,CHG
FG1-2_S2_8th_CHH.txt,FG1-2_S2,8th,CHH
FG1-2_S2_10th_CpG.txt,FG1-2_S2,10th,CpG
FG1-2_S2_10th_CHG.txt,FG1-2_S2,10th,CHG
FG1-2_S2_10th_CHH.txt,FG1-2_S2,10th,CHH
FG2-1_S3_NoExp_CpG.txt,FG2-1_S3,NoExp,CpG
FG2-1_S3_NoExp_CHG.txt,FG2-1_S3,NoExp,CHG
FG2-1_S3_NoExp_CHH.txt,FG2-1_S3,NoExp,CHH
FG2-1_S3_2nd_CpG.txt,FG2-1_S3,2nd,CpG
FG2-1_S3_2nd_CHG.txt,FG2-1_S3,2nd,CHG
FG2-1_S3_2nd_CHH.txt,FG2-1_S3,2nd,CHH
FG2-1_S3_4th_CpG.txt,FG2-1_S3,4th,CpG
FG2-1_S3_4th_CHG.txt,FG2-1_S3,4th,CHG
FG2-1_S3_4th_CHH.txt,FG2-1_S3,4th,CHH
FG2-1_S3_6th_CpG.txt,FG2-1_S3,6th,CpG
FG2-1_S3_6th_CHG.txt,FG2-1_S3,6th,CHG
FG2-1_S3_6th_CHH.txt,FG2-1_S3,6th,CHH
FG2-1_S3_8th_CpG.txt,FG2-1_S3,8th,CpG
FG2-1_S3_8th_CHG.txt,FG2-1_S3,8th,CHG
FG2-1_S3_8th_CHH.txt,FG2-1_S3,8th,CHH
FG2-1_S3_10th_CpG.txt,FG2-1_S3,10th,CpG
FG2-1_S3_10th_CHG.txt,FG2-1_S3,10th,CHG
FG2-1_S3_10th_CHH.txt,FG2-1_S3,10th,CHH
FG2-2_S4_NoExp_CpG.txt,FG2-2_S4,NoExp,CpG
FG2-2_S4_NoExp_CHG.txt,FG2-2_S4,NoExp,CHG
FG2-2_S4_NoExp_CHH.txt,FG2-2_S4,NoExp,CHH
FG2-2_S4_2nd_CpG.txt,FG2-2_S4,2nd,CpG
FG2-2_S4_2nd_CHG.txt,FG2-2_S4,2nd,CHG
FG2-2_S4_2nd_CHH.txt,FG2-2_S4,2nd,CHH
FG2-2_S4_4th_CpG.txt,FG2-2_S4,4th,CpG
FG2-2_S4_4th_CHG.txt,FG2-2_S4,4th,CHG
FG2-2_S4_4th_CHH.txt,FG2-2_S4,4th,CHH
FG2-2_S4_6th_CpG.txt,FG2-2_S4,6th,CpG
FG2-2_S4_6th_CHG.txt,FG2-2_S4,6th,CHG
FG2-2_S4_6th_CHH.txt,FG2-2_S4,6th,CHH
FG2-2_S4_8th_CpG.txt,FG2-2_S4,8th,CpG
FG2-2_S4_8th_CHG.txt,FG2-2_S4,8th,CHG
FG2-2_S4_8th_CHH.txt,FG2-2_S4,8th,CHH
FG2-2_S4_10th_CpG.txt,FG2-2_S4,10th,CpG
FG2-2_S4_10th_CHG.txt,FG2-2_S4,10th,CHG
FG2-2_S4_10th_CHH.txt,FG2-2_S4,10th,CHH
FG3-1_S5_NoExp_CpG.txt,FG3-1_S5,NoExp,CpG
FG3-1_S5_NoExp_CHG.txt,FG3-1_S5,NoExp,CHG
FG3-1_S5_NoExp_CHH.txt,FG3-1_S5,NoExp,CHH
FG3-1_S5_2nd_CpG.txt,FG3-1_S5,2nd,CpG
FG3-1_S5_2nd_CHG.txt,FG3-1_S5,2nd,CHG
FG3-1_S5_2nd_CHH.txt,FG3-1_S5,2nd,CHH
FG3-1_S5_4th_CpG.txt,FG3-1_S5,4th,CpG
FG3-1_S5_4th_CHG.txt,FG3-1_S5,4th,CHG
FG3-1_S5_4th_CHH.txt,FG3-1_S5,4th,CHH
FG3-1_S5_6th_CpG.txt,FG3-1_S5,6th,CpG
FG3-1_S5_6th_CHG.txt,FG3-1_S5,6th,CHG
FG3-1_S5_6th_CHH.txt,FG3-1_S5,6th,CHH
FG3-1_S5_8th_CpG.txt,FG3-1_S5,8th,CpG
FG3-1_S5_8th_CHG.txt,FG3-1_S5,8th,CHG
FG3-1_S5_8th_CHH.txt,FG3-1_S5,8th,CHH
FG3-1_S5_10th_CpG.txt,FG3-1_S5,10th,CpG
FG3-1_S5_10th_CHG.txt,FG3-1_S5,10th,CHG
FG3-1_S5_10th_CHH.txt,FG3-1_S5,10th,CHH
FG3-2_S6_NoExp_CpG.txt,FG3-2_S6,NoExp,CpG
FG3-2_S6_NoExp_CHG.txt,FG3-2_S6,NoExp,CHG
FG3-2_S6_NoExp_CHH.txt,FG3-2_S6,NoExp,CHH
FG3-2_S6_2nd_CpG.txt,FG3-2_S6,2nd,CpG
FG3-2_S6_2nd_CHG.txt,FG3-2_S6,2nd,CHG
FG3-2_S6_2nd_CHH.txt,FG3-2_S6,2nd,CHH
FG3-2_S6_4th_CpG.txt,FG3-2_S6,4th,CpG
FG3-2_S6_4th_CHG.txt,FG3-2_S6,4th,CHG
FG3-2_S6_4th_CHH.txt,FG3-2_S6,4th,CHH
FG3-2_S6_6th_CpG.txt,FG3-2_S6,6th,CpG
FG3-2_S6_6th_CHG.txt,FG3-2_S6,6th,CHG
FG3-2_S6_6th_CHH.txt,FG3-2_S6,6th,CHH
FG3-2_S6_8th_CpG.txt,FG3-2_S6,8th,CpG
FG3-2_S6_8th_CHG.txt,FG3-2_S6,8th,CHG
FG3-2_S6_8th_CHH.txt,FG3-2_S6,8th,CHH
FG3-2_S6_10th_CpG.txt,FG3-2_S6,10th,CpG
FG3-2_S6_10th_CHG.txt,FG3-2_S6,10th,CHG
FG3-2_S6_10th_CHH.txt,FG3-2_S6,10th,CHH
FG4-1_S7_NoExp_CpG.txt,FG4-1_S7,NoExp,CpG
FG4-1_S7_NoExp_CHG.txt,FG4-1_S7,NoExp,CHG
FG4-1_S7_NoExp_CHH.txt,FG4-1_S7,NoExp,CHH
FG4-1_S7_2nd_CpG.txt,FG4-1_S7,2nd,CpG
FG4-1_S7_2nd_CHG.txt,FG4-1_S7,2nd,CHG
FG4-1_S7_2nd_CHH.txt,FG4-1_S7,2nd,CHH
FG4-1_S7_4th_CpG.txt,FG4-1_S7,4th,CpG
FG4-1_S7_4th_CHG.txt,FG4-1_S7,4th,CHG
FG4-1_S7_4th_CHH.txt,FG4-1_S7,4th,CHH
FG4-1_S7_6th_CpG.txt,FG4-1_S7,6th,CpG
FG4-1_S7_6th_CHG.txt,FG4-1_S7,6th,CHG
FG4-1_S7_6th_CHH.txt,FG4-1_S7,6th,CHH
FG4-1_S7_8th_CpG.txt,FG4-1_S7,8th,CpG
FG4-1_S7_8th_CHG.txt,FG4-1_S7,8th,CHG
FG4-1_S7_8th_CHH.txt,FG4-1_S7,8th,CHH
FG4-1_S7_10th_CpG.txt,FG4-1_S7,10th,CpG
FG4-1_S7_10th_CHG.txt,FG4-1_S7,10th,CHG
FG4-1_S7_10th_CHH.txt,FG4-1_S7,10th,CHH
FG4-2_S8_NoExp_CpG.txt,FG4-2_S8,NoExp,CpG
FG4-2_S8_NoExp_CHG.txt,FG4-2_S8,NoExp,CHG
FG4-2_S8_NoExp_CHH.txt,FG4-2_S8,NoExp,CHH
FG4-2_S8_2nd_CpG.txt,FG4-2_S8,2nd,CpG
FG4-2_S8_2nd_CHG.txt,FG4-2_S8,2nd,CHG
FG4-2_S8_2nd_CHH.txt,FG4-2_S8,2nd,CHH
FG4-2_S8_4th_CpG.txt,FG4-2_S8,4th,CpG
FG4-2_S8_4th_CHG.txt,FG4-2_S8,4th,CHG
FG4-2_S8_4th_CHH.txt,FG4-2_S8,4th,CHH
FG4-2_S8_6th_CpG.txt,FG4-2_S8,6th,CpG
FG4-2_S8_6th_CHG.txt,FG4-2_S8,6th,CHG
FG4-2_S8_6th_CHH.txt,FG4-2_S8,6th,CHH
FG4-2_S8_8th_CpG.txt,FG4-2_S8,8th,CpG
FG4-2_S8_8th_CHG.txt,FG4-2_S8,8th,CHG
FG4-2_S8_8th_CHH.txt,FG4-2_S8,8th,CHH
FG4-2_S8_10th_CpG.txt,FG4-2_S8,10th,CpG
FG4-2_S8_10th_CHG.txt,FG4-2_S8,10th,CHG
FG4-2_S8_10th_CHH.txt,FG4-2_S8,10th,CHH
FG5-1_S9_NoExp_CpG.txt,FG5-1_S9,NoExp,CpG
FG5-1_S9_NoExp_CHG.txt,FG5-1_S9,NoExp,CHG
