File,Sample,Context
FG1-1_S1_filtered_4_compressed_500kb_100kb_CHG.txt,FG1-1,CHG
FG1-1_S1_filtered_4_compressed_500kb_100kb_CHH.txt,FG1-1,CHH
FG1-1_S1_filtered_4_compressed_500kb_100kb_CpG.txt,FG1-1,CpG
FG1-2_S2_filtered_4_compressed_500kb_100kb_CHG.txt,FG1-2,CHG
FG1-2_S2_filtered_4_compressed_500kb_100kb_CHH.txt,FG1-2,CHH
FG1-2_S2_filtered_4_compressed_500kb_100kb_CpG.txt,FG1-2,CpG
FG2-1_S3_filtered_4_compressed_500kb_100kb_CHG.txt,FG2-1,CHG
FG2-1_S3_filtered_4_compressed_500kb_100kb_CHH.txt,FG2-1,CHH
FG2-1_S3_filtered_4_compressed_500kb_100kb_CpG.txt,FG2-1,CpG
FG2-2_S4_filtered_4_compressed_500kb_100kb_CHG.txt,FG2-2,CHG
FG2-2_S4_filtered_4_compressed_500kb_100kb_CHH.txt,FG2-2,CHH
FG2-2_S4_filtered_4_compressed_500kb_100kb_CpG.txt,FG2-2,CpG
FG3-1_S5_filtered_4_compressed_500kb_100kb_CHG.txt,FG3-1,CHG
FG3-1_S5_filtered_4_compressed_500kb_100kb_CHH.txt,FG3-1,CHH
FG3-1_S5_filtered_4_compressed_500kb_100kb_CpG.txt,FG3-1,CpG
FG3-2_S6_filtered_4_compressed_500kb_100kb_CHG.txt,FG3-2,CHG
FG3-2_S6_filtered_4_compressed_500kb_100kb_CHH.txt,FG3-2,CHH
FG3-2_S6_filtered_4_compressed_500kb_100kb_CpG.txt,FG3-2,CpG
FG4-1_S7_filtered_4_compressed_500kb_100kb_CHG.txt,FG4-1,CHG
FG4-1_S7_filtered_4_compressed_500kb_100kb_CHH.txt,FG4-1,CHH
FG4-1_S7_filtered_4_compressed_500kb_100kb_CpG.txt,FG4-1,CpG
FG4-2_S8_filtered_4_compressed_500kb_100kb_CHG.txt,FG4-2,CHG
FG4-2_S8_filtered_4_compressed_500kb_100kb_CHH.txt,FG4-2,CHH
FG4-2_S8_filtered_4_compressed_500kb_100kb_CpG.txt,FG4-2,CpG
FG5-1_S9_filtered_4_compressed_500kb_100kb_CHG.txt,FG5-1,CHG
FG5-1_S9_filtered_4_compressed_500kb_100kb_CHH.txt,FG5-1,CHH
FG5-1_S9_filtered_4_compressed_500kb_100kb_CpG.txt,FG5-1,CpG
FG5-2_S10_filtered_4_compressed_500kb_100kb_CHG.txt,FG5-2,CHG
FG5-2_S10_filtered_4_compressed_500kb_100kb_CHH.txt,FG5-2,CHH
FG5-2_S10_filtered_4_compressed_500kb_100kb_CpG.txt,FG5-2,CpG
FG6-1_S11_filtered_4_compressed_500kb_100kb_CHG.txt,FG6-1,CHG
FG6-1_S11_filtered_4_compressed_500kb_100kb_CHH.txt,FG6-1,CHH
FG6-1_S11_filtered_4_compressed_500kb_100kb_CpG.txt,FG6-1,CpG
FG6-2_S12_filtered_4_compressed_500kb_100kb_CHG.txt,FG6-2,CHG
FG6-2_S12_filtered_4_compressed_500kb_100kb_CHH.txt,FG6-2,CHH
FG6-2_S12_filtered_4_compressed_500kb_100kb_CpG.txt,FG6-2,CpG
FL-1_S13_filtered_4_compressed_500kb_100kb_CHG.txt,FL-1,CHG
FL-1_S13_filtered_4_compressed_500kb_100kb_CHH.txt,FL-1,CHH
FL-1_S13_filtered_4_compressed_500kb_100kb_CpG.txt,FL-1,CpG
FL-2_S14_filtered_4_compressed_500kb_100kb_CHG.txt,FL-2,CHG
FL-2_S14_filtered_4_compressed_500kb_100kb_CHH.txt,FL-2,CHH
FL-2_S14_filtered_4_compressed_500kb_100kb_CpG.txt,FL-2,CpG
