Region,Offset,Motif,Count,Total
TIR/CACTA,±0.0kb,FG-dDMR_01,1655,19181
TIR/CACTA,±0.0kb,FG-dDMR_02,173,19181
TIR/CACTA,±0.0kb,FG-dDMR_03,2370,19181
TIR/CACTA,±0.0kb,FG-dDMR_04,2276,19181
TIR/CACTA,±0.0kb,FG-dDMR_05,616,19181
TIR/CACTA,±0.0kb,FG-dDMR_06,806,19181
TIR/CACTA,±0.0kb,FG-dDMR_07,1999,19181
TIR/CACTA,±0.0kb,FG-dDMR_08,1642,19181
TIR/CACTA,±0.0kb,FG-dDMR_09,661,19181
TIR/CACTA,±0.0kb,FG-dDMR_10,472,19181
TIR/CACTA,±0.0kb,FG-dDMR_11,1307,19181
TIR/CACTA,±0.0kb,FG-dDMR_12,2349,19181
TIR/CACTA,±0.0kb,FG-dDMR_13,1950,19181
TIR/CACTA,±0.0kb,FG-dDMR_14,423,19181
TIR/CACTA,±0.0kb,FG-dDMR_15,3019,19181
TIR/CACTA,±0.0kb,FG-dDMR_16,1562,19181
TIR/CACTA,±0.0kb,FG-dDMR_17,1426,19181
TIR/CACTA,±0.0kb,FG-dDMR_18,920,19181
TIR/CACTA,±0.0kb,FG-dDMR_19,2203,19181
TIR/CACTA,±0.0kb,FG-dDMR_20,1305,19181
TIR/CACTA,±0.0kb,FG-dDMR_21,1828,19181
TIR/CACTA,±0.0kb,FG-dDMR_22,1526,19181
TIR/CACTA,±0.0kb,FG-dDMR_23,1372,19181
TIR/CACTA,±0.0kb,FG-dDMR_24,805,19181
TIR/CACTA,±0.0kb,FG-siren_01,588,19181
TIR/CACTA,±0.0kb,FG-siren_02,2202,19181
TIR/CACTA,±0.0kb,FG-siren_03,186,19181
TIR/CACTA,±0.0kb,FG-siren_04,1359,19181
TIR/CACTA,±0.0kb,FG-siren_05,1674,19181
TIR/CACTA,±0.0kb,FG-siren_06,1645,19181
TIR/CACTA,±0.0kb,FG-siren_07,1469,19181
TIR/CACTA,±0.0kb,FG-siren_08,855,19181
TIR/CACTA,±0.0kb,FG-siren_09,3031,19181
TIR/CACTA,±0.0kb,FG-siren_10,1396,19181
TIR/CACTA,±1.0kb,FG-dDMR_01,7490,19181
TIR/CACTA,±1.0kb,FG-dDMR_02,653,19181
TIR/CACTA,±1.0kb,FG-dDMR_03,6247,19181
TIR/CACTA,±1.0kb,FG-dDMR_04,7291,19181
TIR/CACTA,±1.0kb,FG-dDMR_05,4614,19181
TIR/CACTA,±1.0kb,FG-dDMR_06,2919,19181
TIR/CACTA,±1.0kb,FG-dDMR_07,5640,19181
TIR/CACTA,±1.0kb,FG-dDMR_08,6990,19181
TIR/CACTA,±1.0kb,FG-dDMR_09,3553,19181
TIR/CACTA,±1.0kb,FG-dDMR_10,3136,19181
TIR/CACTA,±1.0kb,FG-dDMR_11,6068,19181
TIR/CACTA,±1.0kb,FG-dDMR_12,9332,19181
TIR/CACTA,±1.0kb,FG-dDMR_13,7106,19181
TIR/CACTA,±1.0kb,FG-dDMR_14,1340,19181
TIR/CACTA,±1.0kb,FG-dDMR_15,8129,19181
TIR/CACTA,±1.0kb,FG-dDMR_16,6444,19181
TIR/CACTA,±1.0kb,FG-dDMR_17,4815,19181
TIR/CACTA,±1.0kb,FG-dDMR_18,3279,19181
TIR/CACTA,±1.0kb,FG-dDMR_19,6030,19181
TIR/CACTA,±1.0kb,FG-dDMR_20,4580,19181
TIR/CACTA,±1.0kb,FG-dDMR_21,8221,19181
TIR/CACTA,±1.0kb,FG-dDMR_22,5542,19181
TIR/CACTA,±1.0kb,FG-dDMR_23,5988,19181
TIR/CACTA,±1.0kb,FG-dDMR_24,4601,19181
TIR/CACTA,±1.0kb,FG-siren_01,2523,19181
TIR/CACTA,±1.0kb,FG-siren_02,6462,19181
TIR/CACTA,±1.0kb,FG-siren_03,3636,19181
TIR/CACTA,±1.0kb,FG-siren_04,4574,19181
TIR/CACTA,±1.0kb,FG-siren_05,5339,19181
TIR/CACTA,±1.0kb,FG-siren_06,4839,19181
TIR/CACTA,±1.0kb,FG-siren_07,5136,19181
TIR/CACTA,±1.0kb,FG-siren_08,5044,19181
TIR/CACTA,±1.0kb,FG-siren_09,8755,19181
