Region,Offset,Motif,Count,Total
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_01,59,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_02,0,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_03,12,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_04,40,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_05,42,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_06,6,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_07,5,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_08,49,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_09,14,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_10,14,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_11,26,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_12,53,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_13,45,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_14,1,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_15,16,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_16,28,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_17,11,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_18,22,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_19,15,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_20,22,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_21,53,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_22,26,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_23,39,155
FG-dDMR_FG-siren,±0.0kb,FG-dDMR_24,51,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_01,101,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_02,28,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_03,52,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_04,12,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_05,7,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_06,5,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_07,25,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_08,27,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_09,20,155
FG-dDMR_FG-siren,±0.0kb,FG-siren_10,35,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_01,90,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_02,4,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_03,30,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_04,87,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_05,73,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_06,12,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_07,22,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_08,91,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_09,39,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_10,50,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_11,60,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_12,120,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_13,84,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_14,5,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_15,42,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_16,83,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_17,25,155
FG-dDMR_FG-siren,±1.0kb,FG-dDMR_18,43,155
