Region,Chr,Start,End,FG1,FG2,FG3,FG4,FG5,FG6,FL
FG-dDMR_FG-siren,1,2522875,2523845,673.6088795,1405.278564,1782.436075,1692.014622,2439.132806,1860.415014,5.607665305
FG-dDMR_FG-siren,1,2555531,2559489,6976.489695,11464.36287,13054.4468,14030.27391,13342.45933,12239.87038,48.59976597
FG-dDMR_FG-siren,1,9039677,9042883,614.2034549,1093.518565,1518.99508,1995.690609,1503.737937,1686.483534,18.69221768
FG-dDMR_FG-siren,1,9436234,9436871,449.5357866,748.7385942,938.2333186,1028.360677,1639.319647,1388.707353,14.01916326
FG-dDMR_FG-siren,1,9436981,9439656,3100.546287,4145.078609,4962.119672,5175.495904,4685.596867,4854.986773,24.29988299
FG-dDMR_FG-siren,1,10925173,10926364,1936.755804,2867.162795,3914.572587,4595.777707,3235.52669,3707.622213,12.14994149
FG-dDMR_FG-siren,1,11189867,11190945,1191.582495,1599.967752,1511.482997,1586.947164,1088.816278,1160.572375,2.803832652
FG-dDMR_FG-siren,1,11197264,11198365,1222.153707,1872.275316,2017.641998,2136.519424,1863.951187,1937.43201,8.411497957
FG-dDMR_FG-siren,1,11198487,11199929,1231.186111,2178.889345,2496.861115,2045.047192,2220.447833,2209.307152,12.14994149
FG-dDMR_FG-siren,1,11360961,11365572,1890.204184,2833.285161,3803.704597,4500.463346,3703.372788,4117.235992,26.16910475
FG-dDMR_FG-siren,1,11470808,11475439,5306.189802,10470.33306,19741.75529,18450.79141,35103.91847,26427.46457,97.19953195
FG-dDMR_FG-siren,1,12142609,12144844,355.0429473,724.295238,1483.247924,1334.844374,1030.093936,1049.077837,10.28071973
FG-dDMR_FG-siren,1,14333117,14335930,1272.179328,2202.903871,3108.448322,3609.680452,2833.538812,3314.475319,18.69221768
FG-dDMR_FG-siren,1,14336095,14337863,645.1220677,1143.69177,2161.925808,2862.829631,2152.805642,2543.962296,9.346108841
FG-dDMR_FG-siren,1,14337929,14339960,2133.731685,3506.978364,4399.490525,4687.841035,4750.11711,4555.495291,28.97293741
FG-dDMR_FG-siren,1,14959931,14960645,143.8236597,394.0955143,606.1474228,591.687908,435.1399844,519.736077,6.542276189
FG-dDMR_FG-siren,1,14961863,14963386,43.77241817,132.5087203,244.0131933,279.7365659,361.2538989,413.5589708,3.738443536
FG-dDMR_FG-siren,1,20810207,20811074,138.2652574,295.8932589,445.0261848,494.0091599,433.3560145,495.7218688,5.607665305
FG-dDMR_FG-siren,1,20811099,20811489,27.79201153,80.19136146,138.5849877,143.4887509,93.80708239,116.6404397,0.934610884
