Geneid	Chr	Start	End	Strand	Length	FG1	FG2	FG3	FG4	FG5	FG6	FL	
1	Chr1	2555115	2555411	.	297	128	231	421	698	709	642	3	
2	Chr1	8143116	8144572	.	1457	103	127	501	743	1521	1345	4	
3	Chr1	8856290	8857459	.	1170	551	1196	2158	4909	5133	3699	26	
4	Chr1	9440254	9440373	.	120	1051	852	861	862	2676	1242	1	
5	Chr1	10922928	10924097	.	1170	2853	4329	8687	13717	13443	11944	11	
6	Chr1	10924273	10925038	.	766	1927	2649	4537	7724	9554	7676	8	
7	Chr1	10926448	10926494	.	47	224	267	533	996	646	639	0	
8	Chr1	10927780	10928239	.	460	137	307	715	1041	1358	1505	1	
9	Chr1	11194467	11195470	.	1004	679	815	1203	1403	2168	1720	12	
10	Chr1	11195595	11197144	.	1550	1937	2685	5263	8286	7327	7141	10	
11	Chr1	11469691	11470040	.	350	891	1562	1954	2855	4787	3212	5	
12	Chr1	11476218	11476541	.	324	917	1133	1441	1568	2832	1916	11	
13	Chr1	11476777	11476980	.	204	259	382	853	724	1590	1234	0	
14	Chr1	14960933	14961729	.	797	1428	3031	6611	10709	15120	10241	8	
15	Chr1	20811582	20812788	.	1207	531	962	2331	3280	4163	3522	28	
16	Chr1	20812988	20814418	.	1431	724	1424	2617	3249	3545	3499	8	
17	Chr1	21008975	21009872	.	898	110	197	506	1311	1002	970	0	
18	Chr1	21009974	21014417	.	4444	675	1372	3216	5791	6541	5397	5	
19	Chr1	25251600	25253560	.	1961	637	1291	2557	5271	4604	4238	13	
20	Chr1	25254185	25254575	.	391	126	188	390	576	664	624	14	
21	Chr1	26580983	26582392	.	1410	1390	2443	5660	11281	11656	9834	5	
22	Chr1	28208119	28209343	.	1225	532	613	1135	1531	1371	1122	2	
23	Chr1	28209630	28210983	.	1354	168	365	700	1066	1085	1173	0	
24	Chr1	28211422	28212110	.	689	411	523	1046	1596	2089	1731	4	
25	Chr1	30811372	30812183	.	812	569	1186	2028	2700	3228	3049	4	
26	Chr1	36452593	36453218	.	626	193	235	447	907	996	801	7	
27	Chr1	38451746	38452887	.	1142	181	339	1063	2970	2371	2508	24	
28	Chr1	41135939	41135972	.	34	429	259	527	655	1210	2872	79	
29	Chr10	402637	402987	.	351	313	505	1387	2522	1969	2055	2	
30	Chr10	705179	705397	.	219	641	1385	2633	2083	7646	4126	3	
