Geneid	Chr	Start	End	Strand	Length	FG1	FG2	FG3	FG4	FG5	FG6	FL	
1	Chr1	2522875	2523845	.	971	1939	3277	6881	11450	16407	10846	6	
2	Chr1	2555531	2559489	.	3959	20082	26734	50396	94944	89749	71357	52	
3	Chr1	9039677	9042883	.	3207	1768	2550	5864	13505	10115	9832	20	
4	Chr1	9436234	9436871	.	638	1294	1746	3622	6959	11027	8096	15	
5	Chr1	9436981	9439656	.	2676	8925	9666	19156	35023	31518	28304	26	
6	Chr1	10925173	10926364	.	1192	5575	6686	15112	31100	21764	21615	13	
7	Chr1	11189867	11190945	.	1079	3430	3731	5835	10739	7324	6766	3	
8	Chr1	11197264	11198365	.	1102	3518	4366	7789	14458	12538	11295	9	
9	Chr1	11198487	11199929	.	1443	3544	5081	9639	13839	14936	12880	13	
10	Chr1	11360961	11365572	.	4612	5441	6607	14684	30455	24911	24003	28	
11	Chr1	11470808	11475439	.	4632	15274	24416	76212	124858	236129	154069	104	
12	Chr1	12142609	12144844	.	2236	1022	1689	5726	9033	6929	6116	11	
13	Chr1	14333117	14335930	.	2814	3662	5137	12000	24427	19060	19323	20	
14	Chr1	14336095	14337863	.	1769	1857	2667	8346	19373	14481	14831	10	
15	Chr1	14337929	14339960	.	2032	6142	8178	16984	31723	31952	26558	31	
16	Chr1	14959931	14960645	.	715	414	919	2340	4004	2927	3030	7	
17	Chr1	14961863	14963386	.	1524	126	309	942	1893	2430	2411	4	
18	Chr1	20810207	20811074	.	868	398	690	1718	3343	2915	2890	6	
19	Chr1	20811099	20811489	.	391	80	187	535	971	631	680	1	
20	Chr1	25253637	25254054	.	418	105	183	542	1132	1238	1087	6	
21	Chr1	25311950	25313299	.	1350	4768	8843	20056	33841	33391	27596	20	
22	Chr1	28200382	28203326	.	2945	7186	8650	18273	31150	39715	30002	228	
23	Chr1	28203589	28206337	.	2749	4024	5506	11777	21391	16116	15925	9	
24	Chr1	28212222	28215906	.	3685	5884	7308	14342	19813	41870	24382	26	
25	Chr1	29053363	29056648	.	3286	1383	2447	6262	13290	16166	15856	18	
26	Chr1	30809135	30810708	.	1574	1017	1767	3835	7132	5244	5234	6	
27	Chr1	30810808	30811279	.	472	190	422	1014	1541	1796	1861	2	
28	Chr1	39322773	39323918	.	1146	174	323	822	1373	1486	1570	8	
29	Chr10	403343	404217	.	875	104	208	568	959	827	849	0	
30	Chr10	707136	707747	.	612	1316	1631	2795	4302	6075	4185	1	
